Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Date,Merchant_Category,Transaction_Country,Is_Fraud
TXN000000,CUST1668,188.59,Mobile,2025-02-02,Healthcare,UAE,0
TXN000001,CUST1288,163.15,Online,2024-09-02,Clothing,USA,0
TXN000002,CUST1737,139.37,Mobile,2024-03-16,Electronics,India,0
TXN000003,CUST1482,24.34,Online,2023-12-09,Travel,Germany,0
TXN000004,CUST1340,228.36,In-Store,2023-08-31,Electronics,UAE,0
TXN000005,CUST1341,136.4,ATM,2024-06-29,Electronics,UAE,0
TXN000006,CUST1327,205.16,Mobile,2023-09-04,Electronics,USA,0
TXN000007,CUST1973,68.87,Online,2023-05-25,Healthcare,UK,0
TXN000008,CUST1656,545.81,In-Store,2024-10-17,Electronics,UAE,0
TXN000009,CUST1383,91.83,In-Store,2023-11-13,Electronics,USA,0
TXN000010,CUST1362,36.53,In-Store,2024-02-08,Groceries,USA,0
TXN000011,CUST1104,394.93,ATM,2024-06-05,Groceries,Germany,0
TXN000012,CUST1859,257.55,In-Store,2023-08-15,Clothing,India,0
TXN000013,CUST1876,213.89,ATM,2024-06-22,Clothing,USA,0
TXN000014,CUST1771,8.89,ATM,2025-03-07,Electronics,India,0
TXN000015,CUST1239,41.06,Mobile,2024-07-15,Electronics,Germany,0
TXN000016,CUST1139,65.86,Online,2024-09-13,Clothing,India,0
TXN000017,CUST1537,51.54,Mobile,2023-06-11,Electronics,India,0
TXN000018,CUST1430,830.52,Mobile,2025-02-08,Healthcare,India,0
TXN000019,CUST1842,435.6,Mobile,2024-05-27,Electronics,Germany,0
TXN000020,CUST1187,122.2,Mobile,2024-06-18,Travel,Germany,0
TXN000021,CUST1460,42.48,In-Store,2024-11-10,Travel,USA,0
TXN000022,CUST1898,82.61,In-Store,2023-10-06,Groceries,India,0
TXN000023,CUST1958,222.14,ATM,2023-08-01,Clothing,UAE,0
TXN000024,CUST1702,227.57,ATM,2023-07-09,Groceries,Germany,0
TXN000025,CUST1926,116.2,Online,2024-05-21,Travel,Germany,0
TXN000026,CUST1848,152.01,ATM,2023-07-27,Groceries,India,0
TXN000027,CUST1186,250.33,In-Store,2024-04-18,Travel,Germany,0
TXN000028,CUST1762,377.97,Mobile,2025-04-16,Clothing,India,0
TXN000029,CUST1003,547.44,ATM,2024-06-30,Clothing,USA,0
TXN000030,CUST1730,265.57,ATM,2024-03-23,Electronics,UAE,0
TXN000031,CUST1978,149.99,Online,2023-05-24,Electronics,India,0
TXN000032,CUST1440,463.49,In-Store,2023-05-23,Travel,UK,0
TXN000033,CUST1071,20.07,ATM,2023-10-08,Electronics,USA,0
TXN000034,CUST1241,161.76,Mobile,2023-05-18,Healthcare,UAE,0
TXN000035,CUST1003,443.81,Online,2023-08-17,Travel,UK,0
TXN000036,CUST1974,48.23,Online,2024-02-13,Healthcare,Germany,0
